                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.81549,                0.72859,                 1.1096,                0.98713,                0.95192,                0.99224,                0.76738,                0.85768,                0.80764,                 1.2413,             0.00054478,             0.00054478,             0.00054478
                     36,                0.80586,                0.73712,                 1.1187,                0.97939,                 0.9498,                0.99059,                0.77706,                0.85376,                0.82105,                 1.2658,             0.00051177,             0.00051177,             0.00051177
                     37,                 0.8236,                0.72234,                 1.1017,                0.98688,                0.97059,                0.99375,                0.76932,                0.85658,                0.80552,                 1.2507,             0.00047876,             0.00047876,             0.00047876
                     38,                0.81033,                0.68429,                 1.1143,                0.98234,                0.96968,                0.99073,                0.73251,                 0.9404,                0.77872,                 1.3082,             0.00044576,             0.00044576,             0.00044576
                     39,                0.76183,                 0.6601,                 1.0689,                0.98028,                0.97059,                0.99041,                0.76873,                0.87885,                 0.7692,                 1.2568,             0.00041275,             0.00041275,             0.00041275
                     40,                0.79516,                0.71218,                 1.0986,                0.99408,                0.97059,                 0.9921,                0.77343,                0.83378,                0.72906,                 1.2201,             0.00037974,             0.00037974,             0.00037974
                     41,                0.69558,                0.70782,                 1.0681,                0.99692,                 0.9743,                0.99471,                0.77777,                 0.8229,                0.72668,                 1.2101,             0.00034674,             0.00034674,             0.00034674
                     42,                0.65785,                0.71813,                 1.0565,                0.98007,                0.98387,                0.99471,                0.77047,                0.84132,                0.81496,                 1.2204,             0.00031373,             0.00031373,             0.00031373
                     43,                0.67403,                0.69507,                 1.0826,                0.97627,                0.98529,                0.99395,                0.80389,                0.81641,                0.73327,                 1.2026,             0.00028072,             0.00028072,             0.00028072
                     44,                0.67269,                0.64122,                 1.0519,                0.98496,                0.96766,                0.99375,                0.79361,                0.80225,                0.71285,                 1.1933,             0.00024772,             0.00024772,             0.00024772
                     45,                0.62899,                0.63624,                 1.0254,                0.98117,                0.98103,                0.99419,                0.79912,                0.78965,                0.69951,                  1.183,             0.00021471,             0.00021471,             0.00021471
                     46,                0.64093,                0.61438,                 1.0169,                0.98551,                0.98131,                0.99444,                0.79014,                0.80037,                0.69751,                 1.1803,              0.0001817,              0.0001817,              0.0001817
                     47,                0.62065,                 0.6121,                0.99763,                0.99091,                0.98127,                0.99419,                0.78613,                0.81975,                0.68401,                 1.1828,              0.0001487,              0.0001487,              0.0001487
                     48,                0.61737,                0.59935,                 1.0132,                0.97217,                0.98529,                0.99198,                0.77858,                0.81818,                0.66292,                 1.1833,             0.00011569,             0.00011569,             0.00011569
                     49,                0.59897,                0.60002,                0.99897,                0.97199,                0.98529,                0.99198,                0.78691,                0.81484,                0.66405,                 1.1819,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.60324,                0.57486,                 1.0111,                0.97129,                0.98529,                0.99268,                0.78271,                0.81016,                0.66312,                 1.1798,             4.9677e-05,             4.9677e-05,             4.9677e-05
